Country,Year,Month,D6725_4,I6725_5,I6725_6,I6725_7,I6725_8,I6725_9,I6725_10,I6725_11,I6725_12,I6725_13,I6725_14,I6725_15,I6725_16,I6725_17,I6725_18,I6725_19,I6725_20,I6725_21
India,"Financial Year (Apr - Mar), 1998","September, 1998", 11-Sep-1998,323820.0,16025.0,307795.0,40095.0,4319.0,1518.0,,,34193.0,21574.0,12620.0,348352.0,,,,462.0,64.0
India,"Financial Year (Apr - Mar), 1998","September, 1998", 25-Sep-1998,328132.0,16079.0,312053.0,40832.0,4395.0,1570.0,,,34803.0,21939.0,12863.0,353292.0,,,,408.0,64.0
India,"Financial Year (Apr - Mar), 1998","October, 1998", 23-Oct-1998,337170.0,16728.0,320442.0,41929.0,4292.0,1580.0,,,35993.0,22465.0,13528.0,362772.0,,,,400.0,64.0
India,"Financial Year (Apr - Mar), 1998","October, 1998", 9-Oct-1998,334514.0,15949.0,318565.0,41663.0,4476.0,1574.0,,,35549.0,22427.0,13122.0,360666.0,,,,437.0,64.0
India,"Financial Year (Apr - Mar), 1998","November, 1998", 20-Nov-1998,336124.0,16702.0,319421.0,43675.0,4798.0,1656.0,,,37158.0,22971.0,14187.0,363724.0,,,,628.0,64.0
India,"Financial Year (Apr - Mar), 1998","November, 1998", 6-Nov-1998,337176.0,16073.0,321103.0,43150.0,4670.0,1874.0,,,36543.0,22683.0,13860.0,364608.0,,,,355.0,64.0
India,"Financial Year (Apr - Mar), 1998","December, 1998", 18-Dec-1998,338953.0,15987.0,322966.0,43692.0,4481.0,1664.0,,,37483.0,23078.0,14405.0,367286.0,,,,628.0,64.0
India,"Financial Year (Apr - Mar), 1998","December, 1998", 4-Dec-1998,337432.0,16006.0,321427.0,43692.0,4481.0,1664.0,,,37483.0,23078.0,14405.0,365747.0,,,,628.0,64.0
India,"Financial Year (Apr - Mar), 1998","December, 1998", 8-Dec-1998,338953.0,15987.0,322966.0,44116.0,4637.0,1666.0,,,37750.0,22871.0,14878.0,367698.0,,,,616.0,64.0
India,"Financial Year (Apr - Mar), 1998","January, 1999", 1-Jan-1999,344024.0,16101.0,327922.0,45015.0,4952.0,1691.0,,,38308.0,22763.0,15545.0,373522.0,,,,585.0,64.0
India,"Financial Year (Apr - Mar), 1998","January, 1999", 15-Jan-1999,349240.0,16600.0,332639.0,45584.0,4897.0,1707.0,,,38916.0,22960.0,15956.0,378809.0,,,,585.0,64.0
India,"Financial Year (Apr - Mar), 1998","January, 1999", 29-Jan-1999,349829.0,17056.0,332772.0,46693.0,5117.0,1734.0,,,39779.0,23395.0,16384.0,380050.0,,,,585.0,64.0
India,"Financial Year (Apr - Mar), 1998","February, 1999", 12-Feb-1999,349750.0,17113.0,332637.0,46877.0,4894.0,2025.0,,,39894.0,22787.0,17107.0,380099.0,,,,585.0,64.0
India,"Financial Year (Apr - Mar), 1998","February, 1999", 26-Feb-1999,352047.0,17336.0,334711.0,47448.0,4677.0,2231.0,,,40476.0,22898.0,17578.0,382950.0,,,,792.0,64.0
India,"Financial Year (Apr - Mar), 1998","March, 1999", 12-Mar-1999,354742.0,16732.0,338011.0,48072.0,4697.0,2306.0,,,41005.0,23127.0,17879.0,386875.0,,,,792.0,64.0
India,"Financial Year (Apr - Mar), 1998","March, 1999", 26-Mar-1999,366003.0,16816.0,349187.0,47949.0,4033.0,2395.0,,,41458.0,23265.0,18193.0,397929.0,,,,792.0,64.0
India,"Financial Year (Apr - Mar), 1999","April, 1999", 23-Apr-1999,368293.0,18935.0,349358.0,48204.0,4041.0,2395.0,,,41704.0,23497.0,18207.0,398354.0,,,,792.0,64.0
India,"Financial Year (Apr - Mar), 1999","May, 1999", 21-May-1999,368443.0,21797.0,346645.0,49584.0,4554.0,2450.0,,,42516.0,23889.0,18267.0,396686.0,,,,457.0,64.0
India,"Financial Year (Apr - Mar), 1999","May, 1999", 7-May-1999,369051.0,20799.0,348252.0,48942.0,4285.0,2418.0,,,42176.0,23924.0,18252.0,397652.0,,,,457.0,64.0
