Country,Year,Quarter,Month,FortnightCode,Fortnight,I7501_6,I7501_7,I7501_8,I7501_9
India,"Calendar Year (Jan - Dec), 1991","July - September, 1991","July, 1991",199108.0,"fortnight, from : 1991-07-01 - to : 1991-07-14",4846.0,,9.0,17.0
India,"Calendar Year (Jan - Dec), 1991","July - September, 1991","July, 1991",199109.0,"fortnight, from : 1991-07-15 - to : 1991-07-28",4683.0,,10.5,17.0
India,"Calendar Year (Jan - Dec), 1991","July - September, 1991","August, 1991",199110.0,"fortnight, from : 1991-07-29 - to : 1991-08-11",4805.0,,11.0,17.0
India,"Calendar Year (Jan - Dec), 1991","July - September, 1991","August, 1991",199111.0,"fortnight, from : 1991-08-12 - to : 1991-08-25",5121.0,,10.0,21.0
India,"Calendar Year (Jan - Dec), 1991","July - September, 1991","September, 1991",199112.0,"fortnight, from : 1991-08-26 - to : 1991-09-08",5198.0,,11.0,18.96
India,"Calendar Year (Jan - Dec), 1991","July - September, 1991","September, 1991",199113.0,"fortnight, from : 1991-09-09 - to : 1991-09-22",5010.0,,11.5,16.0
India,"Calendar Year (Jan - Dec), 1991","October - December, 1991","October, 1991",199114.0,"fortnight, from : 1991-09-23 - to : 1991-10-06",4901.0,,12.0,21.0
India,"Calendar Year (Jan - Dec), 1991","October - December, 1991","October, 1991",199115.0,"fortnight, from : 1991-10-07 - to : 1991-10-20",5023.0,,12.0,21.0
India,"Calendar Year (Jan - Dec), 1991","October - December, 1991","November, 1991",199116.0,"fortnight, from : 1991-10-21 - to : 1991-11-03",4956.0,,13.0,17.0
India,"Calendar Year (Jan - Dec), 1991","October - December, 1991","November, 1991",199117.0,"fortnight, from : 1991-11-04 - to : 1991-11-17",4957.0,,11.0,21.0
India,"Calendar Year (Jan - Dec), 1991","October - December, 1991","November, 1991",199118.0,"fortnight, from : 1991-11-18 - to : 1991-12-01",5257.0,,12.5,21.0
India,"Calendar Year (Jan - Dec), 1991","October - December, 1991","December, 1991",199119.0,"fortnight, from : 1991-12-02 - to : 1991-12-15",5406.0,,12.5,17.66
India,"Calendar Year (Jan - Dec), 1991","October - December, 1991","December, 1991",199120.0,"fortnight, from : 1991-12-16 - to : 1991-12-29",5373.0,,12.5,17.64
