Country,Year,Month,D4660_4,D4660_5,D4660_6,D4660_7,D4660_8,D4660_9,D4660_10,D4660_11,D4660_12,I4660_13
India,"Financial Year (Apr - Mar), 2024","October, 2024",25-Oct-2024,External Sector,,Balance of Payments,Current Account,,,,,
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,Balance of Payments,Capital Account,,,,,
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,Forward Premia,6-month,Per cent,Apr/10/2024,1,2,-0.9
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,Real Sector,National Accounts,Production Index (Index of Industrial Production),Use-Based Classification,,,,,
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,Balance of Payments,Banking Capital,USD Million,Q4/23,16358,14435,-151.0
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,Balance of Payments,Capital Account Balance,USD Million,Q4/23,17358,28887,610.0
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,Balance of Payments,Current Account,,,,,
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,Balance of Payments,Current Account Balance,USD Million,Q4/23,-10519,-16832,
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,Balance of Payments,Errors and Omissions,USD Million,Q4/23,-841,-986,
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,Balance of Payments,Foreign Investment,USD Million,Q4/23,16189,6641,-63.0
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,Balance of Payments,Income net,USD Million,Q4/23,-13238,-12675,3.0
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,Balance of Payments,Loans,USD Million,Q4/23,-3478,547,138.0
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,Balance of Payments,Merchandise net,USD Million,Q4/23,-71603,-71337,-22.0
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,Balance of Payments,Other Capital,USD Million,Q4/23,-11709,7265,-87.0
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,Balance of Payments,Overall Balance,USD Million,Q4/23,5998,11069,
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,Balance of Payments,Rupee Debt Service,USD Million,Q4/23,-2,-1,
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,Balance of Payments,Services net,USD Million,Q4/23,45020,38713,16.0
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,Balance of Payments,Transfers net,USD Million,Q4/23,29302,28467,1.0
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,Exchange Rates,Rupees per Euro,,Apr/10/2024,90,89,-1.0
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,Exchange Rates,Rupees per US Dollar,,Apr/10/2024,83,82,-2.0
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,External Debt,Bilateral,USD Million,Q4/23,35121,32967,6.5
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,External Debt,Commercial Borrowings,USD Million,Q4/23,236690,216441,9.4
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,External Debt,Export Credit,USD Million,Q4/23,2766,2975,-7.0
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,External Debt,Grand Total (Total Long Term Debt + Short Term Debt),USD Million,Q4/23,648192,611850,5.9
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,External Debt,IMF,USD Million,Q4/23,22202,22023,0.8
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,External Debt,Multilateral,USD Million,Q4/23,77414,74213,4.3
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,External Debt,NRI Deposits,USD Million,Q4/23,146909,134485,9.2
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,External Debt,Rupee Debt,USD Million,Q4/23,769,875,-12.1
India,"Financial Year (Apr - Mar), 2024","April, 2024",12-Apr-2024,External Sector,,External Debt,Short Term Debt,USD Million,Q4/23,126320,127871,-1.2
