Country,Year,Month,CalendarDay,D7496_22,D7496_23,D7496_24,D7496_25,I7496_5,I7496_6,I7496_7,I7496_8,I7496_9,I7496_10,I7496_11,I7496_12,I7496_13,I7496_14,I7496_15,I7496_16,I7496_17,I7496_18,I7496_19,I7496_20,I7496_21,I7496_26,I7496_27,I7496_28,I7496_29,I7496_30,I7496_31,I7496_32,I7496_33,I7496_34,I7496_35
India,"Calendar Year (Jan - Dec), 2011","April, 2011",2011-04-01,8.25/9.50,,,,6.0,24.0,,,,,,,,,,,6.75,5.75,,,6.0,7.6,,,,,,,,,
India,"Calendar Year (Jan - Dec), 2011","April, 2011",2011-04-08,8.25/9.50,,,,6.0,24.0,,,,,,,,,,,6.75,5.75,,,6.0,6.22,,,,,,,,,
India,"Calendar Year (Jan - Dec), 2011","April, 2011",2011-04-15,8.25/9.50,,,,6.0,24.0,,,,,,,,,,,6.75,5.75,,,6.0,6.77,,,,,,,,,
India,"Calendar Year (Jan - Dec), 2011","April, 2011",2011-04-22,8.25/9.50,,,,6.0,24.0,,,,,,,,,,,6.75,5.75,,,6.0,6.4,,,,,,,,,
India,"Calendar Year (Jan - Dec), 2011","April, 2011",2011-04-29,8.50/9.50,,,,6.0,24.0,,,,,,,,,,,6.75,5.75,,,6.0,6.87,,,,,,,,,
India,"Calendar Year (Jan - Dec), 2011","May, 2011",2011-05-06,8.50/10.00,,,,6.0,24.0,,,,,,,,,,,7.25,6.5,,8.25,6.0,6.75,,,,,,,,,
India,"Calendar Year (Jan - Dec), 2011","May, 2011",2011-05-13,9.25/10.00,,,,6.0,24.0,,,,,,,,,,,7.25,6.5,,8.25,6.0,7.39,,,,,,,,,
India,"Calendar Year (Jan - Dec), 2011","May, 2011",2011-05-20,9.25/10.00,,,,6.0,24.0,,,,,,,,,,,7.25,6.5,,8.25,6.0,7.35,,,,,,,,,
India,"Calendar Year (Jan - Dec), 2011","May, 2011",2011-05-27,9.25/10.00,,,,6.0,24.0,,,,,,,,,,,7.25,6.5,,8.25,6.0,7.4,,,,,,,,,
India,"Calendar Year (Jan - Dec), 2011","June, 2011",2011-06-03,9.25/10.00,,,,6.0,24.0,,,,,,,,,,,7.25,6.5,,8.25,6.0,7.3,,,,,,,,,
