Country,Year,Month,CalendarDay,I7494_5,I7494_6,I7494_7
India,"Calendar Year (Jan - Dec), 2006","July, 2006",2006-07-22,119258.08,100.1789911378,119045.0
India,"Calendar Year (Jan - Dec), 2006","July, 2006",2006-07-23,119258.08,100.1789911378,119045.0
India,"Calendar Year (Jan - Dec), 2006","July, 2006",2006-07-24,127281.07,106.9184510059,119045.0
India,"Calendar Year (Jan - Dec), 2006","July, 2006",2006-07-25,121575.52,102.125683565,119045.0
India,"Calendar Year (Jan - Dec), 2006","July, 2006",2006-07-26,119467.57,100.3549666093,119045.0
India,"Calendar Year (Jan - Dec), 2006","July, 2006",2006-07-27,120262.59,101.0227981016,119045.0
India,"Calendar Year (Jan - Dec), 2006","July, 2006",2006-07-28,119543.95,100.4191272208,119045.0
India,"Calendar Year (Jan - Dec), 2006","July, 2006",2006-07-29,120951.39,101.6014028309,119045.0
India,"Calendar Year (Jan - Dec), 2006","July, 2006",2006-07-30,120951.39,101.6014028309,119045.0
India,"Calendar Year (Jan - Dec), 2006","July, 2006",2006-07-31,119165.29,100.101045823,119045.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-01,114825.95,96.4559200302,119045.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-02,117376.29,98.5982527616,119045.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-03,118997.67,99.9602419253,119045.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-04,119934.53,100.7472216389,119045.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-05,121622.29,102.6582343656,118473.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-06,121622.29,102.6582343656,118473.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-07,121919.78,102.9093379926,118473.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-08,121760.27,102.7746997206,118473.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-09,115716.16,97.6730225452,118473.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-10,113625.69,95.9085107999,118473.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-11,117860.93,99.4833675183,118473.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-12,94264.67,79.5663737729,118473.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-13,94264.67,79.5663737729,118473.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-14,124773.52,105.3181062352,118473.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-15,124773.52,105.3181062352,118473.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-16,118660.51,100.158272349,118473.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-17,116061.08,97.9641606104,118473.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-18,122175.02,103.1247794856,118473.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-19,124297.37,102.9701852343,120712.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-20,124297.37,102.9701852343,120712.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-21,123377.09,102.2078086686,120712.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-22,119954.99,99.3728792498,120712.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-23,118809.37,98.42382696,120712.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-24,119951.58,99.3700543442,120712.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-25,126169.62,104.5211909338,120712.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-26,128478.75,106.4341159123,120712.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-27,128478.75,106.4341159123,120712.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-28,121598.91,100.7347322553,120712.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-29,121094.93,100.317226125,120712.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-30,115970.5,96.0720558022,120712.0
India,"Calendar Year (Jan - Dec), 2006","August, 2006",2006-08-31,117841.4,97.6219431374,120712.0
India,"Calendar Year (Jan - Dec), 2006","September, 2006",2006-09-01,123126.95,102.0005881768,120712.0
India,"Calendar Year (Jan - Dec), 2006","September, 2006",2006-09-02,124544.61,102.5683214468,121426.0
India,"Calendar Year (Jan - Dec), 2006","September, 2006",2006-09-03,124540.61,102.5650272594,121426.0
India,"Calendar Year (Jan - Dec), 2006","September, 2006",2006-09-04,126739.6,104.3759985506,121426.0
India,"Calendar Year (Jan - Dec), 2006","September, 2006",2006-09-05,127878.04,105.3135572283,121426.0
India,"Calendar Year (Jan - Dec), 2006","September, 2006",2006-09-06,127496.02,104.99894586,121426.0
India,"Calendar Year (Jan - Dec), 2006","September, 2006",2006-09-07,124316.1,102.3801327558,121426.0
India,"Calendar Year (Jan - Dec), 2006","September, 2006",2006-09-08,121669.65,100.2006571904,121426.0
India,"Calendar Year (Jan - Dec), 2006","September, 2006",2006-09-09,118702.26,97.7568724985,121426.0
India,"Calendar Year (Jan - Dec), 2006","September, 2006",2006-09-10,118343.25,97.4612109433,121426.0
