week_date,rates_I7496_5,rates_I7496_6,rates_I7496_17,rates_I7496_18,rates_I7496_20,rates_I7496_21,target_wacmr,rates_I7496_27,rates_I7496_28,rates_I7496_29,rates_I7496_30,rates_I7496_31,rates_I7496_32,rates_I7496_33,rates_I7496_34,rates_I7496_35,la_I7492_6,la_I7492_7,la_I7492_8,la_I7492_9,la_I7492_10,la_I7492_12,la_I7492_13,la_I7492_14,la_I7492_15,la_I7492_16,la_I7492_18,la_I7492_19,la_I7492_20,la_I7492_21,la_I7492_22,la_I7492_23,la_I7492_25,la_I7492_27,la_I7492_31,la_I7492_36,la_I7492_37,la_I7492_38,agg_I7494_5,agg_I7494_6,agg_I7494_7,cp_I7505_5,cp_I7505_6,cp_I7505_7,cp_I7505_8,tb_I7504_10_182d,tb_I7504_10_364d,tb_I7504_10_91d,tb_I7504_7_182d,tb_I7504_7_364d,tb_I7504_7_91d,tb_I7504_8_182d,tb_I7504_8_364d,tb_I7504_8_91d,tb_I7504_9_182d,tb_I7504_9_364d,tb_I7504_9_91d,repo_I7498_6,repo_I7498_7,repo_I7498_8,repo_I7498_9,repo_I7498_10,repo_I7498_11,repo_I7498_12,repo_I7498_13,repo_I7498_14,repo_I7498_15,repo_I7498_16,repo_I7498_17,gsec_I7503_6,gsec_I7503_7,gsec_I7503_8,gsec_I7503_9,gsec_I7503_10,cpi_I7500_4,cpi_I7500_5,cpi_I7500_6,cpi_I7500_9,cpi_I7500_10,cpi_I7500_11,cpi_I7500_12,nifty_into,nifty_inth,nifty_intl,nifty_intc,nifty_vol,nifty_ImpulseMACD,nifty_ImpulseHisto,nifty_ImpulseMACDCDSignal,nifty_STX,nifty_psi,nifty_TSI,nifty_TSIs,nifty_velocity,nifty_smooth_velocity,usdinr_into,usdinr_inth,usdinr_intl,usdinr_intc,usdinr_vol,usdinr_ImpulseMACD,usdinr_ImpulseHisto,usdinr_ImpulseMACDCDSignal,usdinr_STX,usdinr_psi,usdinr_TSI,usdinr_TSIs,usdinr_velocity,usdinr_smooth_velocity,target_lag1,target_lag2,target_lag4,repo_lag1,repo_lag2,repo_lag4,spread_wacmr_minus_repo,spread_msf_minus_repo,spread_cp_minus_repo
2014-02-07,4.0,23.0,8.0,7.0,9.0,9.0,7.95,8.9807,,8.9689,8.75,62.3155,84.683,8.09,8.67,8.31,1270767.89,1270757.669,10.2207,375442.2253,25454.1562,42.464,315189.2091,3352.5992,16194.2628,15209.534,895141.2392,2541351.354,1662466.812,125426.5122,681596.9305,48522.2387,643.0139,40639.47,7239.7548,1320.0,22018.861,2541351.354,315202.458632,101.3393772672,311036.506373,553500.0,478764.76,162861.99,130983.33,24951.15,54844.62,24760.255,22776.3525,29060.365,19478.525,1079.33,700.0,70391.4175,17157.8975,49183.525,31245.25,1287776.7411,1304.2785,334736.0712,1623817.089,656939.7966,656339.2467,49179.2248,40852.22,8327.0048,1787856.8944,17019.072,887177.8987,18800.0,5432.0,98894.0,99403.0,12.0,113.6,114.0,113.1,113.6,121.1,118.9,109.9,6058.7998046875,6079.9501953125,5933.2998046875,6063.2001953125,852200,0.0,0.0,0.0,0,50.67755952569931,9.338814131017534,9.401577675670575,-27.552601911105853,-1.1923438235056885,62.869998931884766,62.869998931884766,61.790000915527344,62.09000015258789,0,0.0,0.0,0.0,0,100.0,7.726446429600122,12.331219934366588,-0.0321155790752381,0.0106794110409364,8.111753,8.111753,8.25,8.0,7.75,7.75,-0.04999999999999982,1.0,0.75
2014-02-14,4.0,23.0,8.0,7.0,9.0,9.0,8.9,9.1066,9.0768,,8.83,62.277,85.1755,8.29,8.86,8.54,1279082.585,1279069.162,13.4231,389441.1689,39328.4264,42.4836,315313.8962,3424.5522,16211.5623,15120.2482,903160.3265,2571684.081,1670250.887,125426.5122,698926.8337,53735.9248,324.05,45736.97,7674.9048,1320.0,22023.9228,2571684.081,315327.152742,101.4316004081,310876.641474,563500.0,488764.76,173903.59,142024.93,25949.3275,55947.13,26978.6225,24437.44,32573.905,21034.68,1079.33,700.0,68391.2775,15498.6325,44567.475,28667.8675,1296088.2343,1214.9927,334950.0107,1632253.236,660056.2233,659774.6569,54711.8748,45926.72,8785.1548,1795640.9697,17019.072,895174.9038,18122.0,5916.0,92043.0,70983.0,,113.6,114.0,113.1,113.6,121.1,118.9,109.9,6072.7998046875,6106.60009765625,5984.60009765625,6048.35009765625,716000,0.0,0.0,0.0,0,64.14406396758342,7.680768279967769,9.155747761998745,-23.4543785069446,-5.644750760193471,62.310001373291016,62.45000076293945,61.650001525878906,61.83000183105469,0,0.0,0.0,0.0,0,100.0,6.883492091658866,11.552973099694055,-0.0752371118163324,-0.0065038935305173,7.95,8.111753,8.57081,8.0,8.0,7.75,0.9000000000000004,1.0,0.8300000000000001
2014-02-21,4.0,23.0,8.0,7.0,9.0,9.0,8.09,9.1066,,9.0046,8.81,62.1618,85.2685,8.3,8.94,8.4,1274783.889,1274770.825,13.0643,371106.2091,24051.1352,42.4521,312004.6752,3331.7292,16342.7096,15333.5078,896706.3297,2542596.428,1664807.41,125426.5122,682456.5441,47728.5148,451.69,40503.97,6772.8548,1320.0,20857.4476,2542596.428,312017.924735,100.3671177273,310876.641474,563500.0,483764.76,173903.59,142024.93,28560.0775,56384.005,30291.5225,20060.31,27233.015,19291.935,1079.33,700.0,61891.2775,17255.0125,50351.74,28208.075,1291939.2212,1508.2375,331679.1141,1625126.571,658950.5725,658541.3346,48576.8248,40692.72,7884.1048,1790197.492,17168.3962,889766.7145,17406.0,8230.0,98436.0,113026.0,,113.6,114.0,113.1,113.6,121.1,118.9,109.9,6071.2998046875,6160.35009765625,6066.7998046875,6155.4501953125,466500,0.0,0.0,0.0,0,80.78702948901152,7.409084469767813,8.906224434537183,6.3868216386090975,-3.2384362804329574,61.790000915527344,62.439998626708984,61.790000915527344,62.0099983215332,0,0.0,0.0,0.0,0,100.0,6.450270718092333,10.824015616608095,-0.0036564449800999,-0.0059344038204338,8.9,7.95,8.111753,8.0,8.0,7.75,0.08999999999999986,1.0,0.8100000000000005
2014-02-28,4.0,23.0,8.0,7.0,9.0,9.0,7.93,9.1485,9.0987,,8.86,62.072,85.0285,9.47,9.09,8.64,1271214.607,1271201.376,13.2312,365361.7478,100.8215,42.5045,330254.0712,3359.4325,16351.8905,15253.0275,901459.1746,2538035.529,1662610.981,130214.7745,679355.0057,42938.8848,314.01,35873.97,6750.9048,1320.0,21595.8836,2538035.529,330267.320725,105.4567436809,313178.0,563500.0,468491.16,181553.82,149675.16,28910.595,60884.65,31006.915,24029.0225,29937.37,20807.645,679.33,700.0,61390.775,13937.2325,43146.74,26981.775,1288369.7718,1427.7572,349965.3943,1639762.9226,679625.8168,679354.3113,43924.8748,36059.97,7864.9048,1792789.323,17168.3962,893745.4882,21303.0,10513.0,138577.0,85654.0,,113.6,114.0,113.1,113.6,121.1,118.9,109.9,6140.9501953125,6282.7001953125,6130.7998046875,6276.9501953125,653500,0.0,0.0,0.0,0,93.32210029447418,8.444767506651674,8.840302016267824,29.794905578923956,3.368232091438425,62.06800079345703,62.209999084472656,61.630001068115234,61.81999969482422,0,0.0,0.0,0.0,0,100.0,5.760984285692984,10.100725426477366,-0.0463678144632464,-0.0140210859489963,8.09,8.9,8.111753,8.0,8.0,8.0,-0.07000000000000028,1.0,0.8599999999999994
2014-03-07,4.0,23.0,8.0,7.0,9.0,9.0,7.88,9.19,,9.03,8.87,60.985,84.5255,10.63,9.71,8.85,1282497.94,1282486.902,11.0383,356936.0542,100.1855,42.4391,321676.6614,3357.9851,16472.4794,15286.3037,878292.7053,2517726.7,1641430.937,130214.7745,686940.3172,37656.8848,,31103.97,6552.9148,1320.0,20163.7861,2517726.7,321689.910931,102.7179147102,313178.0,563500.0,468491.16,181553.82,149675.16,29833.8,55908.42,32205.295,20829.3875,25729.105,21513.79,679.33,685.0,58690.6675,16213.6625,53352.485,27172.6675,1299655.2982,1461.0334,341507.1258,1642623.4567,687061.5664,687104.0055,38956.8848,31290.47,7666.4148,1771609.2796,17168.3962,872172.6703,26829.0,10173.0,135233.0,128514.0,217.0,114.2,114.6,113.7,114.3,121.4,119.3,110.7,6264.35009765625,6537.7998046875,6212.25,6526.64990234375,937300,0.0,0.0,0.0,0,80.09476942698593,11.800687681369803,9.263214254139536,77.02126234409732,18.098838141970205,62.16999816894531,62.16999816894531,60.77000045776367,61.22999954223633,0,0.0,0.0,0.0,0,100.0,4.1496168762397065,9.2505670621577,-0.1685307629292206,-0.0449230213450412,7.93,8.09,7.95,8.0,8.0,8.0,-0.1200000000000001,1.0,0.8699999999999992
2014-03-14,4.0,23.0,8.0,7.0,9.0,9.0,8.178611,9.27,9.12,,8.82,61.517,85.2265,11.12,9.23,8.65,1290329.717,1290319.217,10.4998,411220.8083,6572.8854,42.4832,368988.9171,3542.6187,16519.5959,15554.308,893718.5542,2595269.079,1667082.661,130214.7745,741275.1269,34962.2548,160.37,28105.47,6696.4148,1320.0,20414.2619,2595269.079,369002.166659,117.6226237848,313717.0,563500.0,468491.16,190448.82,158570.16,27630.0,51560.0,33270.0,27220.0,34060.0,26210.0,679.33,685.0,52124.68,13030.0,49360.0,23720.0,1307487.6132,1729.0377,389051.1316,1698267.7818,735038.9088,734921.022,36101.8848,28284.97,7816.9148,1797261.0037,17168.3962,887302.4117,26986.0,7987.0,127895.0,104879.0,,114.2,114.6,113.7,114.3,121.4,119.3,110.7,6491.7001953125,6562.85009765625,6432.7001953125,6504.2001953125,1001300,0.0,0.0,0.0,0,72.3001047301569,14.16200386821941,9.963041341865232,49.21246190033072,24.32156289364231,60.810001373291016,61.58000183105469,60.529998779296875,60.97999954223633,0,0.0,0.0,0.0,0,100.0,2.36389610389034,8.266756925262362,-0.1752134327535906,-0.0709811036267511,7.88,7.93,8.9,8.0,8.0,8.0,0.17861100000000008,1.0,0.8200000000000003
2014-03-21,4.0,23.0,8.0,7.0,9.0,9.0,8.880194,9.19,,8.89,8.82,61.0465,84.1755,10.03,8.85,8.49,1290362.811,1290349.334,13.4767,414457.1099,62103.5838,42.4789,316344.433,3355.1722,16537.5603,16073.8818,875999.6974,2580819.618,1663977.341,130214.7745,716916.5202,50062.909,1034.1742,41613.47,7415.2648,1320.0,18328.0733,2580819.618,316357.682499,100.8417403262,313717.0,563500.0,468491.16,190448.82,158570.16,27637.51,52257.12,31554.4175,22625.1525,29890.225,26935.075,679.33,685.0,48123.0075,17631.6875,53882.415,26732.5,1307685.724,1757.2182,336237.1655,1645680.1077,655987.6466,654995.9513,50328.7348,41788.97,8539.7648,1793607.6984,17336.3896,871580.3624,25485.0,12785.0,107639.0,104799.0,,114.2,114.6,113.7,114.3,121.4,119.3,110.7,6532.4501953125,6574.9501953125,6473.25,6493.2001953125,683700,0.0,0.0,0.0,0,60.99243638518911,15.915226733450682,10.813353540663153,36.71046565371167,26.799343445656184,61.040000915527344,61.36000061035156,60.470001220703125,61.02000045776367,0,0.0,0.0,0.0,0,100.0,0.93429645636207,7.21926257256232,-0.1264345009010155,-0.0820717830816039,8.178611,7.88,8.09,8.0,8.0,8.0,0.8801939999999995,1.0,0.8200000000000003
2014-03-28,4.0,23.0,8.0,7.0,9.0,9.0,8.59,8.86,8.86,,8.84,60.0998,82.5765,9.78,8.79,8.95,1283527.889,1283511.005,16.8834,472136.3369,53425.0984,42.4697,380570.9998,3904.1661,18041.2958,16152.3069,856795.3807,2612459.606,1673216.706,130214.7723,738225.569,51381.5127,1488.3279,42178.32,7714.8648,1320.0,18101.0461,2612459.606,380499.826969,119.9527839679,317208.0,563500.0,468491.16,196663.82,164585.16,25533.0975,48066.1875,28694.5225,26997.1275,35605.7525,28598.2175,7406.28,685.0,38193.6475,16460.925,52358.07,30030.2225,1300847.3948,2387.2772,402516.4617,1705751.1337,686387.6608,684941.8026,51193.1848,42353.82,8839.3648,1803398.697,17336.3896,852564.7992,31438.0,3545.0,129360.0,61762.0,92.0,114.2,114.6,113.7,114.3,121.4,119.3,110.7,6510.5,6702.60009765625,6510.5,6695.89990234375,1010300,0.0,0.0,0.0,0,43.867865242409785,19.225518622325826,12.015091409472106,77.18541359521323,36.876557475567594,60.59000015258789,60.77299880981445,59.63999938964844,59.84000015258789,0,0.0,0.0,0.0,0,100.0,-2.3856250429517707,5.847135770346021,-0.3757959648553517,-0.1408166194363535,8.880194,8.178611,7.93,8.0,8.0,8.0,0.5899999999999999,1.0,0.8399999999999999
2014-04-04,4.0,23.0,8.0,7.0,9.0,9.0,8.479795,8.94,,9.02,9.12,60.321,82.6545,8.55,8.42,8.49,1288785.231,1288775.572,9.6589,378024.9336,15045.3951,42.4676,326598.154,3448.4036,16948.6345,15941.8788,856890.9136,2523701.078,1693839.009,129615.8528,632124.2727,47464.4888,2839.5868,37188.4173,7436.4848,1319.9999,19337.4549,2523701.078,326610.0,102.9639857759,317208.0,,,,,27046.1225,54412.6525,29263.105,26318.9075,37626.1875,28996.99,7406.28,685.0,32439.43,15626.12,45141.67,34016.235,1303594.30615,2070.9840999999997,388349.01495,1694014.3051999998,659450.1776,657519.23215,51707.0421,43006.8673,8700.1748,1812973.58585,17339.0,847455.5035999999,29293.0,13850.0,88860.0,109123.0,,115.1,115.4,114.7,114.1,121.5,116.5,111.0,6723.14990234375,6776.75,6662.39990234375,6694.35009765625,924300,0.0,0.0,0.0,0,32.865195538640805,21.8402845583917,13.418690430746334,57.574138431032786,41.01607366666064,60.007999420166016,60.41999816894531,59.59299850463867,59.66999816894531,0,0.0,0.0,0.0,0,100.0,-5.415600792932585,4.238173404163364,-0.312955533064049,-0.1752444021618926,8.59,8.880194,7.88,8.0,8.0,8.0,0.4797949999999993,1.0,1.1199999999999992
2014-04-11,4.0,23.0,8.0,7.0,9.0,9.0,8.12,8.9,8.97,,8.99,60.267,83.7385,8.56,8.5,8.43,1313397.863,1313386.802,11.0601,368164.5389,6037.2919,42.4449,324979.206,3394.0314,16848.8952,16862.6694,863863.3411,2545425.743,1708915.562,129615.8528,639683.1092,48243.1107,1638.4286,39414.4173,7190.2648,1320.0,17648.1075,2545425.743,324992.455521,101.9913746312,318647.0,16000.0,16000.0,5385.0,5385.0,25182.9225,53338.4475,30281.515,28565.9175,40795.2075,30273.7425,7406.28,685.0,36439.43,15241.66,43046.855,36738.0725,1330725.8024,3097.6397,345222.1326,1679045.5747,635522.0753,633926.0916,47904.6821,39587.9173,8316.7648,1838498.6332,17339.0,860218.8192,22768.0,8634.0,104558.0,112845.0,,115.1,115.4,114.7,114.1,121.5,116.5,111.0,6694.25,6819.0498046875,6650.39990234375,6776.2998046875,635500,303.61103504321545,269.8764755939693,33.73455944924616,0,24.21154129230709,24.676636693915775,15.026968468341968,65.81433871875505,45.97572667707952,60.108001708984375,60.58000183105469,59.823001861572266,60.34000015258789,0,1.5496039156618622,1.377425702810544,0.172178212851318,0,100.0,-6.590634341513656,2.691200869066647,-0.0903084327799438,-0.1582572082855028,8.479795,8.59,8.178611,8.0,8.0,8.0,0.11999999999999922,1.0,0.9900000000000002
