Country,Year,Quarter,Month,WeekCode,Week,I7503_6,I7503_7,I7503_8,I7503_9,I7503_10
India,"Calendar Year (Jan - Dec), 2011","January - March, 2011","March, 2011",201110.0,"Week 10, 2011",15976.0,5040.0,83492.0,89864.0,
India,"Calendar Year (Jan - Dec), 2011","January - March, 2011","March, 2011",201111.0,"Week 11, 2011",25248.0,5683.0,93029.0,46249.0,
India,"Calendar Year (Jan - Dec), 2011","January - March, 2011","March, 2011",201112.0,"Week 12, 2011",16046.0,4750.0,90732.0,59759.0,
India,"Calendar Year (Jan - Dec), 2011","April - June, 2011","April, 2011",201113.0,"Week 13, 2011",21158.0,4882.0,61234.0,32282.0,
India,"Calendar Year (Jan - Dec), 2011","April - June, 2011","April, 2011",201114.0,"Week 14, 2011",21971.0,5441.0,111614.0,79452.0,
India,"Calendar Year (Jan - Dec), 2011","April - June, 2011","April, 2011",201115.0,"Week 15, 2011",31617.0,450.0,126488.0,37526.0,
India,"Calendar Year (Jan - Dec), 2011","April - June, 2011","April, 2011",201116.0,"Week 16, 2011",25975.0,6931.0,139428.0,75028.0,
India,"Calendar Year (Jan - Dec), 2011","April - June, 2011","April, 2011",201117.0,"Week 17, 2011",19283.0,5665.0,102760.0,51389.0,
India,"Calendar Year (Jan - Dec), 2011","April - June, 2011","May, 2011",201118.0,"Week 18, 2011",20656.0,5127.0,101348.0,61956.0,
India,"Calendar Year (Jan - Dec), 2011","April - June, 2011","May, 2011",201119.0,"Week 19, 2011",24867.0,4813.0,85406.0,58381.0,
India,"Calendar Year (Jan - Dec), 2011","April - June, 2011","May, 2011",201120.0,"Week 20, 2011",16737.0,4212.0,61816.0,72239.0,
India,"Calendar Year (Jan - Dec), 2011","April - June, 2011","May, 2011",201121.0,"Week 21, 2011",21053.0,4031.0,69721.0,60145.0,40.0
India,"Calendar Year (Jan - Dec), 2011","April - June, 2011","June, 2011",201122.0,"Week 22, 2011",14960.0,6316.0,77398.0,85256.0,
India,"Calendar Year (Jan - Dec), 2011","April - June, 2011","June, 2011",201123.0,"Week 23, 2011",21128.0,5613.0,77768.0,54163.0,
India,"Calendar Year (Jan - Dec), 2011","April - June, 2011","June, 2011",201124.0,"Week 24, 2011",18011.0,5681.0,82549.0,66231.0,
India,"Calendar Year (Jan - Dec), 2011","April - June, 2011","June, 2011",201125.0,"Week 25, 2011",23647.0,6557.0,81168.0,50035.0,
India,"Calendar Year (Jan - Dec), 2011","July - September, 2011","July, 2011",201126.0,"Week 26, 2011",22290.0,4211.0,86803.0,67816.0,
India,"Calendar Year (Jan - Dec), 2011","July - September, 2011","July, 2011",201127.0,"Week 27, 2011",23133.0,5786.0,118827.0,47274.0,
India,"Calendar Year (Jan - Dec), 2011","July - September, 2011","July, 2011",201128.0,"Week 28, 2011",21333.0,7813.0,92806.0,53969.0,
India,"Calendar Year (Jan - Dec), 2011","July - September, 2011","July, 2011",201129.0,"Week 29, 2011",24120.0,7184.0,72390.0,44681.0,
India,"Calendar Year (Jan - Dec), 2011","July - September, 2011","July, 2011",201130.0,"Week 30, 2011",19270.0,5196.0,64897.0,49878.0,
India,"Calendar Year (Jan - Dec), 2011","July - September, 2011","August, 2011",201131.0,"Week 31, 2011",14382.0,4275.0,82178.0,50123.0,
India,"Calendar Year (Jan - Dec), 2011","July - September, 2011","August, 2011",201132.0,"Week 32, 2011",18317.0,6674.0,69273.0,57473.0,
India,"Calendar Year (Jan - Dec), 2011","July - September, 2011","August, 2011",201133.0,"Week 33, 2011",15590.0,7855.0,83475.0,55523.0,
India,"Calendar Year (Jan - Dec), 2011","July - September, 2011","August, 2011",201134.0,"Week 34, 2011",18351.0,4729.0,78014.0,67189.0,
India,"Calendar Year (Jan - Dec), 2011","July - September, 2011","September, 2011",201135.0,"Week 35, 2011",15073.0,9206.0,70186.0,56745.0,
India,"Calendar Year (Jan - Dec), 2011","July - September, 2011","September, 2011",201136.0,"Week 36, 2011",17990.0,7346.0,96660.0,67051.0,
India,"Calendar Year (Jan - Dec), 2011","July - September, 2011","September, 2011",201137.0,"Week 37, 2011",23630.0,7101.0,84082.0,49459.0,
India,"Calendar Year (Jan - Dec), 2011","July - September, 2011","September, 2011",201138.0,"Week 38, 2011",24408.0,5717.0,87017.0,59670.0,
India,"Calendar Year (Jan - Dec), 2011","July - September, 2011","September, 2011",201139.0,"Week 39, 2011",20180.0,4879.0,91345.0,39805.0,
India,"Calendar Year (Jan - Dec), 2011","October - December, 2011","October, 2011",201140.0,"Week 40, 2011",16815.0,8932.0,93129.0,59650.0,
