Country,Year,Month,D7505_4,I7505_5,I7505_6,I7505_7,I7505_8
India,"Financial Year (Apr - Mar), 2011","January, 2012",06-Jan-2012,394000.0,320419.0,102155.0,87250.0
India,"Financial Year (Apr - Mar), 2011","January, 2012",13-Jan-2012,408000.0,334418.81,111322.0,96416.0
India,"Financial Year (Apr - Mar), 2011","January, 2012",20-Jan-2012,422000.0,348418.0,111322.0,96420.0
India,"Financial Year (Apr - Mar), 2011","January, 2012",27-Jan-2012,436000.0,362418.0,111322.0,96420.0
India,"Financial Year (Apr - Mar), 2011","February, 2012",03-Feb-2012,449000.0,375418.0,122283.0,103230.0
India,"Financial Year (Apr - Mar), 2011","February, 2012",10-Feb-2012,462000.0,388418.81,128693.0,109638.2636
India,"Financial Year (Apr - Mar), 2011","February, 2012",17-Feb-2012,474000.0,400418.81,128693.0,109638.2636
India,"Financial Year (Apr - Mar), 2011","February, 2012",24-Feb-2012,486000.0,412418.81,137371.0,118316.26
India,"Financial Year (Apr - Mar), 2011","March, 2012",02-Mar-2012,498000.0,424418.81,137371.0,118316.26
India,"Financial Year (Apr - Mar), 2011","March, 2012",09-Mar-2012,498000.0,424419.0,148438.0,129236.0
India,"Financial Year (Apr - Mar), 2011","March, 2012",16-Mar-2012,510000.0,436418.81,151048.0,129058.0
India,"Financial Year (Apr - Mar), 2011","March, 2012",23-Mar-2012,510000.0,436418.81,152264.0,130274.76157
India,"Financial Year (Apr - Mar), 2011","March, 2012",30-Mar-2012,510000.0,436418.81,158632.3,136643.0616
India,"Financial Year (Apr - Mar), 2012","April, 2012",06-Apr-2012,18000.0,-8000.0,,
India,"Financial Year (Apr - Mar), 2012","April, 2012",13-Apr-2012,18000.0,-8000.0,2850.0,2850.0
India,"Financial Year (Apr - Mar), 2012","April, 2012",20-Apr-2012,33000.0,7000.0,2925.0,2925.0
India,"Financial Year (Apr - Mar), 2012","April, 2012",27-Apr-2012,49000.0,23000.0,7640.0,3666.0
India,"Financial Year (Apr - Mar), 2012","May, 2012",04-May-2012,65000.0,6000.0,7640.0,3665.0
India,"Financial Year (Apr - Mar), 2012","May, 2012",11-May-2012,83000.0,24000.0,11911.0,7937.0
India,"Financial Year (Apr - Mar), 2012","May, 2012",18-May-2012,98000.0,39000.0,11911.0,7937.0
India,"Financial Year (Apr - Mar), 2012","May, 2012",25-May-2012,113000.0,54000.0,19211.81,15237.46
India,"Financial Year (Apr - Mar), 2012","June, 2012",01-Jun-2012,128000.0,67425.87,19211.81,15237.46
India,"Financial Year (Apr - Mar), 2012","June, 2012",08-Jun-2012,143000.0,82425.87,23216.81,19242.46
India,"Financial Year (Apr - Mar), 2012","June, 2012",15-Jun-2012,158000.0,97425.87,23216.81,19242.46
India,"Financial Year (Apr - Mar), 2012","June, 2012",22-Jun-2012,158000.0,97425.87,27816.81,23842.46
India,"Financial Year (Apr - Mar), 2012","June, 2012",29-Jun-2012,173000.0,112425.87,27816.81,22798.71
India,"Financial Year (Apr - Mar), 2012","July, 2012",06-Jul-2012,188000.0,127424.87,31096.81,26078.71
India,"Financial Year (Apr - Mar), 2012","July, 2012",13-Jul-2012,203000.0,142425.87,31096.81,26078.71
India,"Financial Year (Apr - Mar), 2012","July, 2012",20-Jul-2012,219000.0,144384.06,41976.81,36958.71
India,"Financial Year (Apr - Mar), 2012","July, 2012",27-Jul-2012,234000.0,159384.06,41976.81,36958.71
India,"Financial Year (Apr - Mar), 2012","August, 2012",03-Aug-2012,249000.0,174384.06,41976.81,36958.71
India,"Financial Year (Apr - Mar), 2012","August, 2012",10-Aug-2012,264000.0,189384.06,51626.81,46608.71
India,"Financial Year (Apr - Mar), 2012","August, 2012",17-Aug-2012,279000.0,204384.06,51626.81,46608.71
India,"Financial Year (Apr - Mar), 2012","August, 2012",24-Aug-2012,294000.0,219384.0,57117.0,46725.0
India,"Financial Year (Apr - Mar), 2012","August, 2012",31-Aug-2012,309000.0,234384.0,57117.0,46725.0
India,"Financial Year (Apr - Mar), 2012","September, 2012",07-Sep-2012,324000.0,249384.0,64766.0,54374.0
India,"Financial Year (Apr - Mar), 2012","September, 2012",14-Sep-2012,340000.0,254384.0,64766.81,54374.81
India,"Financial Year (Apr - Mar), 2012","September, 2012",21-Sep-2012,340000.0,254384.0,74176.808,63785.0
India,"Financial Year (Apr - Mar), 2012","September, 2012",28-Sep-2012,355000.0,269385.0,74177.0,63785.0
India,"Financial Year (Apr - Mar), 2012","October, 2012",05-Oct-2012,370000.0,284384.0,82477.0,72085.0
India,"Financial Year (Apr - Mar), 2012","October, 2012",12-Oct-2012,383000.0,297384.0,82477.0,72085.0
