Country,Year,Quarter,Month,WeekCode,Week,I7498_6,I7498_7,I7498_8,I7498_9,I7498_10,I7498_11,I7498_12,I7498_13,I7498_14,I7498_15,I7498_16,I7498_17
India,"Calendar Year (Jan - Dec), 2001","April - June, 2001","June, 2001",200126.0,"Week 26, 2001",231940.0,3744.0,78088.0,313772.0,169619.0,,20901.0,10726.0,,204362.0,5565.0,86675.0
India,"Calendar Year (Jan - Dec), 2001","July - September, 2001","July, 2001",200127.0,"Week 27, 2001",234802.0,3980.0,66536.0,305318.0,166691.0,,16355.0,7894.0,8461.0,205487.0,5565.0,88780.0
India,"Calendar Year (Jan - Dec), 2001","July - September, 2001","July, 2001",200128.0,"Week 28, 2001",234428.0,3897.0,70531.0,308856.0,166704.0,,21772.0,11751.0,10021.0,205354.0,5565.0,90539.0
India,"Calendar Year (Jan - Dec), 2001","July - September, 2001","July, 2001",200129.0,"Week 29, 2001",231389.0,3671.0,69480.0,304540.0,165737.0,,19405.0,10148.0,9257.0,205404.0,5565.0,91571.0
India,"Calendar Year (Jan - Dec), 2001","July - September, 2001","July, 2001",200130.0,"Week 30, 2001",227989.0,3517.0,74768.0,306274.0,161554.0,,25340.0,13724.0,11616.0,205913.0,5640.0,92173.0
India,"Calendar Year (Jan - Dec), 2001","July - September, 2001","August, 2001",200131.0,"Week 31, 2001",229965.0,3526.0,67139.0,300630.0,164384.0,,16081.0,7750.0,8331.0,206301.0,5640.0,91776.0
India,"Calendar Year (Jan - Dec), 2001","July - September, 2001","August, 2001",200132.0,"Week 32, 2001",231704.0,3446.0,68572.0,303722.0,166058.0,,17037.0,8765.0,8272.0,207918.0,5640.0,92931.0
India,"Calendar Year (Jan - Dec), 2001","July - September, 2001","August, 2001",200133.0,"Week 33, 2001",230761.0,3303.0,71120.0,305184.0,156826.0,,18151.0,9168.0,8983.0,210125.0,5640.0,85558.0
India,"Calendar Year (Jan - Dec), 2001","July - September, 2001","August, 2001",200134.0,"Week 34, 2001",228439.0,3654.0,75940.0,308033.0,156133.0,,19647.0,10391.0,9256.0,211788.0,5720.0,85255.0
India,"Calendar Year (Jan - Dec), 2001","July - September, 2001","August, 2001",200135.0,"Week 35, 2001",225969.0,3709.0,66781.0,296459.0,147741.0,,15812.0,7658.0,8154.0,213826.0,5721.0,86641.0
India,"Calendar Year (Jan - Dec), 2001","July - September, 2001","September, 2001",200136.0,"Week 36, 2001",229555.0,3661.0,81591.0,314807.0,160204.0,,22043.0,12192.0,9851.0,214160.0,5721.0,87321.0
India,"Calendar Year (Jan - Dec), 2001","July - September, 2001","September, 2001",200137.0,"Week 37, 2001",228709.0,3459.0,73719.0,305887.0,153778.0,,21002.0,11166.0,9836.0,215833.0,5721.0,90447.0
India,"Calendar Year (Jan - Dec), 2001","July - September, 2001","September, 2001",200138.0,"Week 38, 2001",226789.0,3318.0,71909.0,302016.0,152030.0,,21626.0,11124.0,10502.0,214344.0,5805.0,91789.0
India,"Calendar Year (Jan - Dec), 2001","July - September, 2001","September, 2001",200139.0,"Week 39, 2001",224562.0,3470.0,80956.0,308988.0,160240.0,,20224.0,10804.0,9420.0,214028.0,5805.0,91309.0
India,"Calendar Year (Jan - Dec), 2001","October - December, 2001","October, 2001",200140.0,"Week 40, 2001",228308.0,3555.0,70903.0,302766.0,157370.0,,17315.0,9612.0,7703.0,215779.0,5805.0,93503.0
India,"Calendar Year (Jan - Dec), 2001","October - December, 2001","October, 2001",200141.0,"Week 41, 2001",230770.0,3191.0,74712.0,308673.0,157758.0,,21159.0,12299.0,8860.0,216706.0,5805.0,92755.0
India,"Calendar Year (Jan - Dec), 2001","October - December, 2001","October, 2001",200142.0,"Week 42, 2001",231864.0,3137.0,75408.0,310409.0,156545.0,,22924.0,11890.0,11034.0,216719.0,5889.0,91668.0
