YearMonth,Repo_Rate,CRR,Call_Money_Rate,SLR,Credit_Deposit_Ratio,WPI_Overall,WPI_Manufactured_Products,Notes_In_Circulation,Deposits_Of_Commercial_Banks,CD_Max_Rate,TBill_364D_Yield,Macro_Regime_Cluster
2012-01,8.5,6.0,24.0,7.5,6.91,104.6,112.8,1022658.2802500001,141806.219,10.085,40865.0,0
2012-02,8.5,5.5,24.0,7.5,7.09,104.6,113.5,1039825.64325,132782.704,10.55,43980.0,0
2012-03,8.5,5.05,24.0,7.5,7.316,104.6,114.6,1055745.6254,137775.41084,11.7,44796.0,0
2012-04,8.25,4.75,24.0,7.25,7.035,104.6,116.1,1085333.24425,138250.169,11.3,45730.0,0
2012-05,8.0,4.75,24.0,7.0,6.2875,104.6,117.1,1109196.693,139796.9717,10.025,44342.5,0
2012-06,8.0,4.75,24.0,7.0,5.8705006,104.6,118.5,1112999.8488,144491.13280000002,10.133333333333333,51398.0,0
2012-07,8.0,4.75,24.0,7.0,6.4791989999999995,104.6,119.9,1101029.56975,145055.9,9.95,55242.5,0
2012-08,8.0,4.75,23.4,7.0,6.858687000000001,104.6,121.1,1097777.049,144052.15759999998,9.280000000000001,57354.0,0
2012-09,8.0,4.6875,23.0,7.0,6.4375,104.6,121.9,1092987.9625,146717.51875000002,9.18,61572.5,0
2012-10,8.0,4.5,23.0,7.0,6.305,104.6,122.6,1093584.59875,148252.30675,9.675,59717.5,0
2012-11,8.0,4.3,23.0,7.0,6.1166212,104.6,123.4,1124544.4918,152362.8296,8.76,64036.228,0
2012-12,8.0,4.25,23.0,7.0,6.535,104.6,124.0,1133156.4992499999,151600.65649999998,9.1,61109.04125,0
2013-01,8.0,4.25,23.0,7.0,6.6975,104.6,104.0,1139610.774,149102.9,9.065000000000001,62014.52,0
2013-02,7.75,4.125,23.0,6.75,7.1725,105.3,104.7,1155055.4075,143746.2532,9.605,56717.175,0
2013-03,7.65,4.0,23.0,6.65,7.2780000000000005,105.5,105.0,1168176.1896,141383.0698,10.125,52151.128500000006,0
2013-04,7.5,4.0,23.0,6.5,7.165,106.1,105.7,1202375.3625,139736.8006,9.58,52640.75,0
2013-05,7.25,4.0,23.0,6.25,6.438,106.9,106.6,1221606.2064,129788.38368000001,9.423333333333334,50820.273,0
2013-06,7.25,4.0,23.0,6.25,5.8675,109.3,109.7,1216963.9224999999,129000.2997,8.705,52504.239875,0
